module id,category,module gds name,origin x [um],origin y [um],count,wchannel [nm],num fingers,lchannel [nm],lcontact [nm],loverlap [nm],gate asymmetry [nm],w_nmos [nm],w_pmos [nm],module description
'1034',FET,mod_dummy_fet_tlm_nmos_lc_0.20_lch_0.06_lov_0.06_gateasym_0.00_w_4.0,1700,0,1,4000.0,None,60.0,200.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1035',FET,mod_dummy_fet_tlm_pmos_lc_0.20_lch_0.06_lov_0.06_gateasym_0.00_w_4.0,1750,0,1,4000.0,None,60.0,200.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1036',FET,mod_dummy_fet_tlm_nmos_lc_0.16_lch_0.40_lov_0.06_gateasym_0.00_w_4.0,1800,0,1,4000.0,None,400.0,160.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1037',FET,mod_dummy_fet_tlm_pmos_lc_0.16_lch_0.40_lov_0.06_gateasym_0.00_w_4.0,1850,0,1,4000.0,None,400.0,160.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1038',FET,mod_dummy_fet_tlm_nmos_lc_0.16_lch_0.20_lov_0.06_gateasym_0.00_w_4.0,1900,0,1,4000.0,None,200.0,160.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1039',FET,mod_dummy_fet_tlm_pmos_lc_0.16_lch_0.20_lov_0.06_gateasym_0.00_w_4.0,1950,0,1,4000.0,None,200.0,160.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1040',FET,mod_dummy_fet_tlm_nmos_lc_0.16_lch_0.16_lov_0.06_gateasym_0.00_w_4.0,2000,0,1,4000.0,None,160.0,160.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1041',FET,mod_dummy_fet_tlm_pmos_lc_0.16_lch_0.16_lov_0.06_gateasym_0.00_w_4.0,2050,0,1,4000.0,None,160.0,160.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1042',FET,mod_dummy_fet_tlm_nmos_lc_0.16_lch_0.14_lov_0.06_gateasym_0.00_w_4.0,2100,0,1,4000.0,None,140.0,160.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1043',FET,mod_dummy_fet_tlm_pmos_lc_0.16_lch_0.14_lov_0.06_gateasym_0.00_w_4.0,2150,0,1,4000.0,None,140.0,160.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs PMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
'1044',FET,mod_dummy_fet_tlm_nmos_lc_0.16_lch_0.12_lov_0.06_gateasym_0.00_w_4.0,2200,0,1,4000.0,None,120.0,160.0,60.0,0.0,None,None,"(DUMMY) 3-Terminal FETs NMOS Pads are ordered (from bottom-to-top): S, D, G, S, D, G, S, D, G, S, D, G"
